Model,Accuracy,Precision,Recall,F1-score
SVM_std_DUMMIES,0.765,0.749,0.764,0.753
RF_weights_nostd,0.766,0.75,0.765,0.754
RF_weights_std,0.759,0.743,0.757,0.747
RF_noweights_nostd,0.795,0.783,0.764,0.771
RF_noweights_std,0.785,0.771,0.752,0.759
RF_noweights_std_SMOTE,0.78,0.762,0.754,0.758
RF_noweights_std_DUMMIES,0.794,0.781,0.762,0.769
RF_noweights_nostd_DUMMIES,0.798,0.785,0.767,0.774
RF_noweights_std_SMOTE_Tomek,0.784,0.768,0.755,0.76
ETC_nostd_DUMMIES,0.754,0.74,0.756,0.743
NN_weights_nostd,0.662,0.693,0.703,0.662
NN_weights_std,0.819,0.807,0.828,0.812
NN_noweights_nostd,0.742,0.722,0.728,0.725
NN_noweights_std,0.828,0.816,0.809,0.812
NN_noweights_std_SMOTE,0.823,0.808,0.825,0.814
NN_noweights_std_DUMMIES,0.834,0.822,0.813,0.817
NN_noweights_nostd_DUMMIES,0.718,0.702,0.714,0.705
NN_noweights_std_SMOTE_Tomek,0.826,0.811,0.816,0.813
